管理人,基金代码,基金名称,基金类型,今年来,近1周,近1月,近3月,近6月,近1年,近2年,近3年,基金规模,基金经理url,成立时间,跟踪误差率
广发基金,3377,广发中债7-10年国开债指数C,债券指数,2.1821,0.3308,1.3459999999999999,-2.0388,0.0498,3.0992,11.7048,16.3115,10.46,http://fundf10.eastmoney.com/jjjl_003377.html,3.9095890410958902,0.03
广发基金,3376,广发中债7-10年国开债指数A,债券指数,2.3922,0.3349,1.3716,-1.9567,0.22,3.4902,12.1801,16.8884,44.08,http://fundf10.eastmoney.com/jjjl_003376.html,3.9095890410958902,0.03
易方达基金,3358,易方达中债7-10年国开债A,债券指数,2.6458,0.3644,1.3429,-2.0361,0.2365,3.5526,11.8238,15.6139,37.54,http://fundf10.eastmoney.com/jjjl_003358.html,3.9068493150684933,0.03
兴业基金,2659,兴业中债1-3年政金债A,债券指数,1.2213,0.0636,0.34600000000000003,-1.5902,0.2939,2.6225,5.3357,8.9612,93.98,http://fundf10.eastmoney.com/jjjl_002659.html,4.1506849315068495,0.04
兴业基金,3429,中证兴业中高等级信用债指数,债券指数,3.0679,0.1966,0.7885,-0.4558,1.7671,4.6944,10.8961,16.9801,79.76,http://fundf10.eastmoney.com/jjjl_003429.html,3.802739726027397,0.06
万家基金,519180,万家180指数,股票指数,10.5717,0.2578,-1.4304,18.2193,15.5348,19.5039,32.1359,23.0422,12.54,http://fundf10.eastmoney.com/jjjl_519180.html,17.454794520547946,0.07
融通基金,161604,融通深证100指数A,股票指数,29.2343,-0.5949,-2.5656,25.2624,26.3038,50.1348,65.8787,46.6202,55.61,http://fundf10.eastmoney.com/jjjl_161604.html,16.90958904109589,0.08
工银瑞信基金,481009,工银沪深300指数A,股票指数,15.3248,0.0,-1.6383,20.1915,18.3389,27.392,40.8195,30.6658,26.0,http://fundf10.eastmoney.com/jjjl_481009.html,11.476712328767123,0.08
广发基金,968,广发养老指数A,股票指数,31.7353,-2.2989,-2.1325,24.0334,28.5575,45.69,38.9362,28.5575,15.69,http://fundf10.eastmoney.com/jjjl_000968.html,5.528767123287671,0.09
富国基金,161026,富国中证国有企业改革指数分级,股票指数,18.009,-0.2835,-0.0947,21.9654,21.2644,32.1616,36.931999999999995,21.307,58.37,http://fundf10.eastmoney.com/jjjl_161026.html,5.6876712328767125,0.1
博时基金,50002,博时沪深300指数A,股票指数,16.6102,0.1332,-1.4634,20.9207,19.5429,29.1986,40.8061,36.7973,53.6,http://fundf10.eastmoney.com/jjjl_050002.html,17.005479452054793,0.11
富国基金,161022,富国创业板指数分级,股票指数,46.2072,-2.7875,-6.2973,25.2753,28.0069,68.7772,71.9576,46.0372,37.15,http://fundf10.eastmoney.com/jjjl_161022.html,6.950684931506849,0.11
富国基金,161024,富国中证军工指数分级,股票指数,52.6429,-3.437,13.7957,39.094,46.2392,54.6541,63.63,25.141,65.67,http://fundf10.eastmoney.com/jjjl_161024.html,6.391780821917808,0.12
天弘基金,1548,天弘上证50指数A,股票指数,12.0066,0.8314,0.226,19.6475,17.5754,22.0664,43.657,41.6775,10.18,http://fundf10.eastmoney.com/jjjl_001548.html,5.109589041095891,0.12
华安基金,160420,华安创业板50指数分级,股票指数,55.9719,-3.1305,-5.1412,30.5673,34.5719,91.2181,81.5568,25.4777,9.67,http://fundf10.eastmoney.com/jjjl_160420.html,5.136986301369863,0.13
大成基金,90010,大成中证红利指数A,股票指数,7.7469,0.7743,1.1099,16.2731,12.2612,15.0979,23.4617,18.8318,24.82,http://fundf10.eastmoney.com/jjjl_090010.html,10.561643835616438,0.13
天弘基金,1632,天弘中证食品饮料指数C,股票指数,49.8201,1.294,1.8006,33.0928,57.8412,62.3552,108.1749,126.5572,8.51,http://fundf10.eastmoney.com/jjjl_001632.html,5.073972602739726,0.14
富国基金,161025,富国中证移动互联网指数分级,股票指数,44.9597,-1.1056,-6.6414,22.5076,25.2941,77.7883,82.3762,53.7877,14.85,http://fundf10.eastmoney.com/jjjl_161025.html,5.978082191780822,0.14
