序号,基金公司,相关链接,成立时间,天相评级,全部管理规模(亿元)(统计时间),全部基金数,全部经理数,全部管理规模(亿元)
1,天弘基金管理有限公司,详情 公司吧,2004-11-08,,"14,397.27   08-20",128,27,14397.27
2,易方达基金管理有限公司,详情 公司吧,2001-04-17,,"9,209.45   08-14",331,54,9209.45
3,南方基金管理股份有限公司,详情 公司吧,1998-03-06,,"7,289.21   08-14",376,58,7289.21
4,博时基金管理有限公司,详情 公司吧,1998-07-13,,"7,106.93   07-31",331,61,7106.93
5,汇添富基金管理股份有限公司,详情 公司吧,2005-02-03,,"6,901.85   08-21",253,47,6901.85
6,广发基金管理有限公司,详情 公司吧,2003-08-05,,"6,644.17   08-17",339,57,6644.17
7,华夏基金管理有限公司,详情 公司吧,1998-04-09,,"6,551.59   07-29",320,60,6551.59
8,嘉实基金管理有限公司,详情 公司吧,1999-03-25,,"5,913.36   07-23",264,60,5913.36
9,工银瑞信基金管理有限公司,详情 公司吧,2005-06-21,,"5,868.90   08-20",242,53,5868.9
10,鹏华基金管理有限公司,详情 公司吧,1998-12-22,,"5,554.31   08-17",298,45,5554.31
11,建信基金管理有限责任公司,详情 公司吧,2005-09-19,,"4,935.18   08-05",184,37,4935.18
12,富国基金管理有限公司,详情 公司吧,1999-04-13,,"4,721.47   08-20",250,56,4721.47
13,华安基金管理有限公司,详情 公司吧,1998-06-04,,"4,379.63   07-16",207,41,4379.63
14,招商基金管理有限公司,详情 公司吧,2002-12-27,,"4,231.70   08-18",313,47,4231.7
15,中银基金管理有限公司,详情 公司吧,2004-08-12,,"4,010.61   08-18",173,35,4010.61
16,平安基金管理有限公司,详情 公司吧,2011-01-07,,"3,962.50   08-10",192,26,3962.5
17,银华基金管理股份有限公司,详情 公司吧,2001-05-28,,"3,818.41   08-13",173,51,3818.41
18,兴证全球基金管理有限公司,详情 公司吧,2003-09-30,,"3,686.74   08-03",47,25,3686.74
19,中欧基金管理有限公司,详情 公司吧,2006-07-19,,"3,269.43   08-20",153,29,3269.43
20,交银施罗德基金管理有限公司,详情 公司吧,2005-08-04,,"3,232.43   08-20",130,28,3232.43
21,国泰基金管理有限公司,详情 公司吧,1998-03-05,,"3,122.69   08-21",200,31,3122.69
22,景顺长城基金管理有限公司,详情 公司吧,2003-06-12,,"2,949.34   08-11",137,26,2949.34
23,农银汇理基金管理有限公司,详情 公司吧,2008-03-18,,"2,223.66   06-30",67,20,2223.66
24,兴业基金管理有限公司,详情 公司吧,2013-04-17,,"2,181.29   08-05",90,19,2181.29
25,华宝基金管理有限公司,详情 公司吧,2003-03-07,,"2,121.62   07-24",118,30,2121.62
26,国寿安保基金管理有限公司,详情 公司吧,2013-10-29,,"2,071.30   08-06",95,18,2071.3
27,浦银安盛基金管理有限公司,详情 公司吧,2007-08-05,,"2,021.12   08-20",120,16,2021.12
28,永赢基金管理有限公司,详情 公司吧,2013-11-07,暂无评级,"1,989.97   08-11",99,16,1989.97
