基金代码,基金名称,名称缩写,基金类型,今年来,近1周,近1月,近3月,近6月,近1年,近2年,近3年,n0,不知道是啥,page_num,数据来源日期,净值,日增长率,total_page_num,手续费,购买起点（元),page_num2,原先手续费,现在手续费
001838,国投瑞银国家安全混合,GTRYGJAQHH,混合型,70.2899,-2.3275,24.0760,61.6231,76.4264,79.9387,76.9578,41.0564,,,1,2020-08-14,1.1750,4.0744,1,0.15%,100,1,1.50%,0.15%
001300,大成睿景灵活配置混合A,DCRJLHPZHHA,混合型,67.7340,-2.5751,24.0437,61.5658,62.1429,87.3453,118.9711,80.1587,82.5737,,1,2020-08-14,1.3620,0.4425,1,0.15%,100,1,1.50%,0.15%
001301,大成睿景灵活配置混合C,DCRJLHPZHHC,混合型,67.0935,-2.6119,23.9316,61.1111,61.5099,85.8974,115.3465,75.8760,75.4032,,1,2020-08-14,1.3050,0.3846,1,0.00%,100,0,,
090018,大成新锐产业混合,DCXRCYHH,混合型,65.0423,-2.3823,18.7478,61.0383,57.8972,96.8565,112.2123,101.3957,120.3811,,1,2020-08-14,3.3190,0.3932,1,0.15%,100,1,1.50%,0.15%
001475,易方达国防军工混合,YFDGFJGHH,混合型,75.7426,-5.1436,18.9280,58.6592,70.0599,88.8298,94.7874,61.9156,41.4343,,1,2020-08-14,1.42,1.9383,1,0.15%,100,1,1.50%,0.15%
002190,农银新能源主题,NYXNYZT,混合型,75.0496,-2.7706,11.1718,55.4968,40.9907,115.9054,105.7178,74.4070,,,1,2020-08-14,1.8529,1.0416,1,0.15%,100,1,1.50%,0.15%
000336,农银研究精选混合,NYYJJXHH,混合型,82.9351,-3.0835,10.9992,53.8313,50.7757,130.2360,135.5271,89.1490,61.5989,,1,2020-08-14,2.6339,1.0667,1,0.15%,100,1,1.50%,0.15%
001606,农银工业4.0混合,NYGY40HH,混合型,81.5665,-2.8563,9.7906,53.6332,45.5729,105.7649,112.5245,94.4857,138.07,,1,2020-08-14,2.3807,1.1772,1,0.15%,100,1,1.50%,0.15%
004698,博时军工主题股票,BSJGZTGP,股票型,70.1913,-4.6813,17.9344,52.6649,55.0459,87.9867,103.8601,67.9920,,,1,2020-08-14,1.69,1.6847,1,0.15%,100,1,1.50%,0.15%
004997,广发高端制造股票,GFGDZZGP,股票型,90.2804,-3.9509,8.2244,52.5346,64.6893,144.1280,165.5190,,,,1,2020-08-14,2.1515,-0.1068,1,0.15%,100,1,1.50%,0.15%
002251,华夏军工安全混合,HXJGAQHH,混合型,65.6555,-4.4972,22.0271,51.6865,61.2869,72.7684,81.3760,54.4444,,,1,2020-08-14,1.5290,2.6864,1,0.15%,100,1,1.50%,0.15%
270023,广发全球精选股票(QDII),GFQQJXGPQDII,QDII,67.0863,-3.7970,8.3592,50.9751,50.2426,94.6229,78.1969,86.0086,128.7626,,1,2020-08-13,2.7870,0.8686,1,0.16%,100,1,1.60%,0.16%
003713,英大睿盛A,YDRSA,混合型,57.8731,1.5738,21.5293,50.8250,52.8608,81.4558,107.7255,102.3275,,,1,2020-08-14,1.8007,0.84,1,0.08%,100,1,0.80%,0.08%
003714,英大睿盛C,YDRSC,混合型,57.7298,1.5690,21.5585,50.8036,52.7627,81.5905,114.5353,108.4999,,,1,2020-08-14,1.8579,0.8358,1,0.00%,100,0,,
005609,富国军工主题混合,FGJGZTHH,混合型,78.0349,-3.9684,17.0756,50.6650,65.5519,96.6976,112.3764,,,,1,2020-08-14,1.8464,2.7433,0,0.15%,100,1,1.50%,0.15%
004640,华夏节能环保股票,HXJNHBGP,股票型,63.3811,-2.8018,8.3733,50.1402,37.2938,110.0157,123.2384,60.62,,,1,2020-08-14,1.6062,1.4720,1,0.15%,100,1,1.50%,0.15%
004139,中邮军民融合灵活配置混合,ZYJMRHLHPZHH,混合型,51.7414,-1.2340,15.5568,50.0474,52.1790,66.5926,68.6834,40.9059,,,1,2020-08-14,1.4247,2.1364,1,0.15%,100,1,1.50%,0.15%
000977,长城环保主题混合,CCHBZTHH,混合型,94.7952,-3.5640,11.1946,49.0880,68.5352,149.9310,176.0113,139.2378,133.5417,,1,2020-08-14,2.3541,1.2821,1,0.15%,100,1,1.50%,0.15%
002542,长城久鼎混合,CCJDHH,混合型,91.9230,-3.4991,11.0328,48.9466,70.8567,114.2723,117.8704,123.8725,,,1,2020-08-14,2.2835,1.3178,1,0.15%,100,1,1.50%,0.15%
002983,长信国防军工量化混合A,CXGFJGLHHHA,混合型,73.9363,-5.0421,15.0295,48.8661,58.3440,86.7341,99.6199,53.0889,,,1,2020-08-14,1.3654,2.5460,1,0.15%,100,1,1.50%,0.15%
008960,长信国防军工量化混合C,CXGFJGLHHHC,混合型,,-5.0502,15.0004,48.7450,,,,,,,1,2020-08-14,1.3631,2.5427,1,0.00%,100,0,,
