基金代码,基金名称,名称缩写,基金类型,今年来,近1周,近1月,近3月,近6月,近1年,近2年,近3年,n0,不知道是啥,page_num,数据来源日期,净值,日增长率,total_page_num,手续费,购买起点（元),page_num2,原先手续费,现在手续费,基金规模,基金经理url,成立时间,跟踪误差率,当前经理管理天数,当前回报率,经理工作年限,经理管理过的基金数量,经理平均名次,经理平均回报率,跑赢均值比例,排名在前50%比例
160643,鹏华空天军工指数(LOF),PHKTJGZSLOF,股票指数,67.0159,-3.1156,17.5737,47.7626,58.0513,74.2118,80.96300000000002,34.2464,,,1,2020-08-14,1.3869,3.446,1,0.12%,100,1.0,1.20%,0.12%,0.48亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_160643.html,2017-06-13,0.16%,522,49.63,4.978082191780822,27,0.5655676313758102,-4.6148148148148165,0.4444444444444444,0.4074074074074074
502003,易方达军工分级,YFDJGFJ,股票指数,63.6778,-3.0413,15.7684,44.6514,54.2998,70.3525,84.4201,41.8871,-16.8315,,1,2020-08-14,1.3039,3.1239999999999997,1,0.10%,100,1.0,1.00%,0.10%,1.51亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_502003.html,2015-07-08,0.15%,1872,-16.32,9.706849315068494,46,0.509020735531395,-8.28326086956522,0.4130434782608696,0.4565217391304348
160630,鹏华中证国防指数分级,PHZZGFZSFJ,股票指数,62.963,-4.7178,15.0326,44.4313,56.5437,77.7236,77.1848,31.6128,-27.6963,,1,2020-08-14,1.232,3.3557,1,0.12%,100,1.0,1.20%,0.12%,65.16亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_160630.html,2014-11-13,0.17%,522,51.47,4.978082191780822,27,0.5655676313758102,-4.6148148148148165,0.4444444444444444,0.4074074074074074
501019,国泰国证航天军工指数,GTGZHTJGZS,股票指数,55.1395,-3.1696,12.8438,43.5137,49.1003,65.3149,85.1614,47.178999999999995,,,1,2020-08-14,1.2678,2.8474,1,0.12%,100,1.0,1.20%,0.12%,2.36亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_501019.html,2017-03-29,0.20%,1242,22.64,6.610958904109589,32,0.6245693755962182,-13.985,0.1875,0.21875
164402,前海开源中航军工,QHKYZHJG,股票指数,49.1622,-2.7110000000000003,14.8041,42.6083,49.3158,55.4671,66.3593,21.9267,-1.0549,,1,2020-08-14,0.993,3.3299,1,0.12%,100,1.0,1.20%,0.12%,6.04亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_164402.html,2015-03-30,0.16%,830,32.85,3.5013698630136987,11,0.500188712742503,-12.576363636363634,0.5454545454545454,0.5454545454545454
596,前海开源中证军工指数A,QHKYZZJGZSA,股票指数,60.4918,-3.8310000000000004,13.639000000000001,42.6074,54.5383,65.3716,78.3242,35.7836,-18.1096,,1,2020-08-14,1.9580000000000002,3.0526,1,0.12%,100,1.0,1.20%,0.12%,4.92亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_000596.html,2014-05-27,0.27%,830,46.3,3.5013698630136987,11,0.500188712742503,-12.576363636363634,0.5454545454545454,0.5454545454545454
2199,前海开源中证军工指数C,QHKYZZJGZSC,股票指数,60.1927,-3.8536,13.5381,42.5714,54.2504,64.9587,77.5802,34.8648,,,1,2020-08-14,0.998,2.9928,1,0.12%,100,1.0,1.20%,0.12%,1.21亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_002199.html,2015-11-30,0.27%,830,45.48,3.5013698630136987,11,0.500188712742503,-12.576363636363634,0.5454545454545454,0.5454545454545454
163115,申万菱信中证军工指数分级,SWLXZZJGZSFJ,股票指数,57.8996,-3.3081,15.9961,42.4768,50.7344,60.9153,74.0132,32.0575,-23.5571,,1,2020-08-14,1.137,3.1199,1,0.10%,100,1.0,1.00%,0.10%,9.25亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_163115.html,2014-07-24,0.18%,267,59.89,5.224657534246576,27,0.5142319067463517,0.6874074074074079,0.5555555555555556,0.4444444444444444
161726,招商国证生物医药指数分级,ZSGZSWYYZSFJ,股票指数,90.3327,-6.5315,1.2218,40.0632,64.5878,117.5151,143.5994,161.0009,110.0222,,1,2020-08-14,1.0604,1.1832,1,0.10%,100,1.0,1.00%,0.10%,36.44亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_161726.html,2015-05-27,0.18%,1082,143.94,3.0027397260273974,17,0.4695140180286086,36.42882352941177,0.6470588235294118,0.5294117647058824
161024,富国中证军工指数分级,FGZZJGZSFJ,股票指数,52.6429,-3.437,13.7957,39.094,46.2392,54.6541,63.63,25.141,-32.2615,,1,2020-08-14,1.18,3.1469,1,0.12%,100,1.0,1.20%,0.12%,65.67亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_161024.html,2014-04-04,0.12%,1905,-45.69,9.47945205479452,26,0.7189414137828742,-33.737307692307695,0.2692307692307692,0.19230769230769232
8928,泰达消费红利指数A,TDXFHLZSA,股票指数,,-0.449,1.4786,37.9631,,,,,,,1,2020-08-14,1.4413,1.3430000000000002,1,0.12%,100,1.0,1.20%,0.12%,1.19亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_008928.html,2020-03-26,--,149,50.99,8.027397260273974,28,0.4233119010679128,3.935357142857143,0.6071428571428571,0.6428571428571429
8929,泰达消费红利指数C,TDXFHLZSC,股票指数,,-0.4494,1.4656,37.8914,,,,,,,1,2020-08-14,1.44,1.3371,1,0.00%,100,0.0,,,0.12亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_008929.html,2020-03-26,--,149,50.84,8.027397260273974,28,0.4233119010679128,3.935357142857143,0.6071428571428571,0.6428571428571429
4788,富荣沪深300指数增强A,FRHS300ZSZQA,股票指数,51.2541,0.7139,3.2882,37.6307,48.9302,72.4703,76.0838,,,,1,2020-08-14,1.58,1.9158,1,0.12%,100,1.0,1.20%,0.12%,0.18亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_004788.html,2018-02-11,0.63%,37,11.1,2.4,12,0.5014852734466339,-1.4941666666666684,0.4166666666666667,0.4166666666666667
4789,富荣沪深300指数增强C,FRHS300ZSZQC,股票指数,51.1657,0.7159,3.2842,37.595,48.8521,72.2909,75.7109,,,,1,2020-08-14,1.5756,1.9212,1,0.00%,100,0.0,,,1.63亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_004789.html,2018-02-11,0.63%,37,11.09,2.4,12,0.5014852734466339,-1.4941666666666684,0.4166666666666667,0.4166666666666667
501090,华宝中证消费龙头指数(LOF)A,HBZZXFLTZSLOFA,股票指数,36.43,1.1417,5.5633,37.4471,45.2465,,,,,,1,2020-08-14,1.3643,1.5784,1,0.10%,100,1.0,1.00%,0.10%,1.83亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_501090.html,2019-12-19,--,109,42.13,7.854794520547945,21,0.5802250492470079,-15.018571428571427,0.42857142857142855,0.42857142857142855
9329,华宝中证消费龙头指数(LOF)C,HBZZXFLTZSLOFC,股票指数,,1.1347,5.5418,37.3627,,,,,,,1,2020-08-14,1.3636,1.5793,1,0.00%,100,0.0,,,0.22亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_009329.html,2020-04-17,--,109,42.03,7.854794520547945,21,0.5802250492470079,-15.018571428571427,0.42857142857142855,0.42857142857142855
161122,易方达生物分级,YFDSWFJ,股票指数,84.5018,-6.4137,-0.3156,37.2798,62.3857,104.6162,131.8696,132.4567,98.7904,,1,2020-08-14,1.0185,1.1119,1,0.10%,100,1.0,1.00%,0.10%,2.49亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_161122.html,2015-06-03,0.12%,121,37.43,3.0986301369863014,44,0.4886032788076713,2.6197727272727254,0.4772727272727273,0.4772727272727273
501009,汇添富中证生物科技指数A,HTFZZSWKJZSA,股票指数,83.0649,-6.0310000000000015,2.3438,37.2418,60.2873,106.1885,119.4334,142.5167,,,1,2020-08-14,2.4322,0.7498,1,0.10%,100,1.0,1.00%,0.10%,7.30亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_501009.html,2016-12-22,0.18%,1339,139.44,5.057534246575343,19,0.5634967928863419,1.6268421052631588,0.3684210526315789,0.4736842105263158
501010,汇添富中证生物科技指数C,HTFZZSWKJZSC,股票指数,82.624,-6.0361,2.3128,37.107,59.9671,105.5157,118.9418,142.9213,,,1,2020-08-14,2.4331,0.7495,1,0.00%,100,0.0,,,11.07亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_501010.html,2016-12-22,0.18%,1339,139.51,5.057534246575343,19,0.5634967928863419,1.6268421052631588,0.3684210526315789,0.4736842105263158
502053,长盛中证证券公司分级,CSZZZQGSFJ,股票指数,22.4195,-0.5411,-5.6459,36.679,33.8592,40.8537,73.8094,20.9743,21.7269,,1,2020-08-14,1.103,1.3787,1,0.12%,100,1.0,1.20%,0.12%,1.29亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_502053.html,2015-08-13,0.25%,318,38.43,1.2328767123287672,20,0.5534406032671262,-12.448,0.2,0.35
501057,汇添富中证新能源汽车A,HTFZZXNYQCA,股票指数,38.5996,-0.4597,-1.5161,35.7299,18.8441,70.9859,58.5951,,,,1,2020-08-14,1.4291,1.4769999999999999,1,0.12%,100,1.0,1.20%,0.12%,10.91亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_501057.html,2018-05-23,0.20%,822,39.02,5.057534246575343,19,0.5634967928863419,1.6268421052631588,0.3684210526315789,0.4736842105263158
501058,汇添富中证新能源汽车C,HTFZZXNYQCC,股票指数,38.3798,-0.4698,-1.5398,35.6426,18.6972,70.5515,57.7573,,,,1,2020-08-14,1.4195,1.4726,1,0.00%,100,0.0,,,7.33亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_501058.html,2018-05-23,0.20%,822,38.08,5.057534246575343,19,0.5634967928863419,1.6268421052631588,0.3684210526315789,0.4736842105263158
519677,银河定投宝腾讯济安指数,YHDTBTXJAZS,股票指数,39.0529,-0.0442,2.5397,34.6635,38.0342,55.0754,52.7703,27.3086,19.1254,,1,2020-08-14,2.261,0.4442,1,0.00%,100,0.0,0.00%,0.00%,2.76亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_519677.html,2014-03-14,0.18%,1690,34.29,10.657534246575343,12,0.5286515779644008,-8.291666666666666,0.3333333333333333,0.3333333333333333
1113,南方大数据100A,NFDSJ100A,股票指数,49.55,-2.2168,-1.9089,34.4256,38.7667,65.2412,46.8621,12.745999999999999,-1.4824,,1,2020-08-14,0.9969,1.0645,1,0.12%,100,1.0,1.20%,0.12%,30.98亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_001113.html,2015-04-24,0.16%,421,57.5,1.347945205479452,4,0.5681214308037807,-5.400000000000001,0.5,0.5
161725,招商中证白酒指数分级,ZSZZBJZSFJ,股票指数,37.6849,3.4614,-4.4966,34.3635,49.8218,48.3905,104.3122,133.0789,286.9267,,1,2020-08-14,1.3869,3.4305,1,0.10%,100,1.0,1.00%,0.10%,129.25亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_161725.html,2015-05-27,0.15%,1082,145.2,3.0027397260273974,17,0.4695140180286086,36.42882352941177,0.6470588235294118,0.5294117647058824
